,percentage,average
AL,0.012227607179419937,0.007499726253496068
AZ,0.020955944774210034,0.009259473839646652
CA,0.22297555588055817,0.017091785323110623
CO,0.013490074251891599,0.0074915989309665325
CT,0.007666587657409135,0.006340018856294296
DC,0.0012281736926069188,0.005544147532300389
DE,0.001490753395296764,0.004739133873584619
FL,0.07522555461977215,0.011247306064952431
GA,0.028113847296958816,0.0082813864993989
ID,0.0005907202786505219,0.0010749701431172543
IL,0.029045147907011147,0.006706996113529049
IN,0.010099736579773293,0.004553685051437389
KS,0.002315475560083178,0.002371539324267972
KY,0.006429000095819738,0.00433265805014074
LA,0.017644616359623243,0.011287023009775304
MA,0.011099623949555111,0.004894292532045504
MD,0.014567289831172347,0.007249840916122346
ME,0.0006942728374577847,0.0015525276879968183
MI,0.029819774840426517,0.008950060631428624
MN,0.021089419987997318,0.011494412949708576
MO,0.009754113104273729,0.0047846250793053425
MS,0.002004145464448356,0.0019909294310537563
MT,0.00016944964168461184,0.0004923899376599168
NC,0.047896420544424216,0.014326278735522373
ND,1.4457013080234741e-05,5.81488122767018e-05
NE,0.007566397194667044,0.011961182097503964
NH,0.002374984660436703,0.005324035866395641
NJ,0.016790980168676358,0.005587494091355338
NM,0.0016877722247157767,0.0024070135195524297
NV,0.003202060292468737,0.0033545865623518458
NY,0.04632934756844807,0.006978497715031839
OH,0.01878167724886403,0.004818200330631888
OK,0.01724654418550701,0.013227520731418953
OR,0.023817088525670445,0.017842754554574673
PA,0.03039166738111208,0.007069173578065393
RI,0.003524485305118623,0.009934863761676994
SC,0.049318250970384975,0.0303547949066339
SD,2.017257639102522e-05,7.03255486857913e-05
TN,0.019597321754274484,0.008899964454498704
TX,0.10021130773769599,0.011056959765267283
UT,0.013914034565709646,0.014062649724659537
VA,0.026882311508286728,0.009602957572094842
VT,0.0001966826198124959,0.0009336665804820592
WA,0.02063217492313408,0.008690326317384476
WI,0.005910564882570389,0.003053374656365088
WV,0.0007645406452198559,0.0012289726242835047
WY,0.0001654151264064068,0.0008422450967469139
